id_forms_of_payment,name
541,Daegu
542,Denpasar
543,San Salvador
544,Colombo
545,Hargeisa
546,Changchun
547,Incheon
548,Buffalo
549,Blantyre
550,Sacramento
551,Vilnius
552,Leipzig
553,Jamestown
554,Hamilton
555,Salzburg
556,Salzburg
557,Bangui
558,Belmopan
559,Leipzig
560,Puebla
561,Rabat
562,Alor Star
563,Phnom Penh
564,Antananarivo
565,Santiago de Cuba
566,Medellín
567,Omsk
568,Libreville
569,Maceió
570,Mendoza
571,Road Town
572,Arbil
573,Manchester
574,Cuiabá
575,Gdańsk
576,Cusco
577,Birkirkara
578,Linz
579,Dammam
580,Kiev
581,Malacca Town
582,Málaga
583,Mersin
584,Buffalo
585,Phuket (city)
586,Ljubljana
587,Dunedin
588,Maseru
589,Brikama
590,Gaza
591,Split (city)
592,Pelotas
593,Melbourne
594,Vilnius
595,Bandung
596,Kuching
597,Bern
598,Miami
599,Washington
600,Shenzhen
601,Antananarivo
602,Johannesburg
603,Vientiane
604,Liverpool
605,Madrid
606,Ashgabat
607,Adelaide
608,Hangzhou
609,Cairo
610,Nouakchott
611,London
612,Quito
613,Tallinn
614,Dubai
615,Mata-Utu
616,Memphis
617,Memphis
618,Calama
619,Bangalore
620,Gaziantep
621,Cayenne
622,San Diego
623,Kolkata
624,Alofi
625,Madrid
626,Douglas
627,Milan
628,Sana'a
629,Detroit
630,Pelotas
631,Darwin
632,Tianjin
633,Alofi
634,Timbuktu
635,Funafuti
636,Kuwait City
637,Vienna
638,Chihuahua
639,Invercargill
640,Kota Kinabalu
641,Iquique
642,Abu Dhabi
643,Alofi
644,Ludhiana
645,Guayaquil
646,Vilnius
647,Dededo
648,Maputo
649,Hanoi
650,Iqaluit
651,Ho Chi Minh City
652,Omdurman
653,Nizhny Novgorod
654,São Paulo
655,Minneapolis
656,Hiroshima
657,Calama
658,Durban
659,Jerusalem
660,Stuttgart
661,Cotonou
662,Hanga Roa
663,Bogotá
664,Shenzhen
665,Taichung
666,Zhengzhou
667,Veracruz
668,Tórshavn
669,Port Hedland
670,Tórshavn
671,Port-au-Prince
672,Douala
673,Charlottetown
674,Kota Bharu
675,El Paso
676,Tripoli
677,Iquitos
678,Tampere
679,Iquique
680,Charlotte
681,Kiev
682,Davao City
683,Saskatoon
684,Bulawayo
685,Jacksonville
686,Albuquerque
687,Tucson
688,Kabul
689,Tabriz
690,Birmingham
691,Anchorage
692,Birmingham
693,Belfast
694,Qingdao
695,Pyongyang
696,Port Louis
697,The Valley
698,Ahmedabad
699,Asunción
700,Montreal
701,Lomé
702,Bergen
703,Jakarta
704,Memphis
705,Turin
706,São Paulo
707,Austin
708,Kuching
709,Hamilton
710,San Francisco
711,Mogadishu
712,Sabha
713,Mendoza
714,Linz
715,Adana
716,Wellington
717,Espoo
718,Lilongwe
719,Detroit
720,New York City
721,Mata-Utu
722,Veracruz
723,Xi'an
724,London
725,Winnipeg
726,Kyoto
727,Nantes
728,Punta Arenas
729,Iquitos
730,Jakarta
731,Ludhiana
732,Jinan
733,Djibouti (city)
734,Porto-Novo
735,Moroni
736,Arequipa
737,Cape Town
738,Montreal
739,Quetzaltenango
740,Nukuʻalofa
741,Liverpool
742,Chuí
743,Zagreb
744,Portland
745,Yangon
746,Cape Town
747,Charlotte
748,Monterrey
749,Douglas
750,Alexandria
751,Yellowknife
752,Zhengzhou
753,Bursa
754,Yakutsk
755,Gaza
756,Zanzibar City
757,Dar es Salaam
758,Taichung
759,Maracaibo
760,Manila
761,São Paulo
762,Beijing
763,Dongguan
764,Fortaleza
765,Zagreb
766,Rosario
767,Chittagong
768,Seattle
769,Riga
770,N'Djamena
771,Serekunda
772,Qingdao
773,Winnipeg
774,Berlin
775,Guayaquil
776,Angra do Heroísmo
777,Beijing
778,Cayenne
779,Zürich
780,Rabi Island
781,Chuí
782,Barcelona
783,Murmansk
784,Manila
785,Málaga
786,Huế
787,Anadyr (town)
788,Anchorage
789,Mogadishu
790,San Francisco
791,Mexico City
792,Naypyidaw
793,Cork (city)
794,Srinagar
795,Bucharest
796,Djibouti (city)
797,Perth
798,Manzini
799,Chicago
800,Nukuʻalofa
801,Tartu
802,Ürümqi
803,Columbus
804,Omdurman
805,Hanga Roa
806,Norilsk
807,Beijing
808,Hyderabad
809,Charlotte
810,Buenos Aires
811,Quetzaltenango
812,Shigatse
813,Islamabad
814,Bridgetown
815,Shillong
816,Khartoum
817,Vancouver
818,Cannes
819,Bangkok
820,Busan
821,Chicago
822,Xi'an
823,Harbin
824,Ushuaia
825,Barranquilla
826,Pyongyang
827,Monrovia
828,Okinawa
829,Charlotte Amalie
830,Stuttgart
831,Dallas
832,Toronto
833,Khartoum
834,Port of Spain
835,Gold Coast
836,Ahmedabad
837,Hai Phong
838,Vitória
839,Memphis
840,Portland
841,Dhaka
842,London
843,Buffalo
844,Santa Cruz de Tenerife
845,Tripoli
846,Fukuoka
847,Las Palmas de Gran Canaria
848,Tamale
849,Gaza
850,Yakutsk
851,Charlottetown
852,Banda Aceh
853,San Carlos de Bariloche
854,Beijing
855,Harare
856,Ljubljana
857,Buenos Aires
858,Bulawayo
859,Ibadan
860,Buffalo
861,Nanning
862,Lahore
863,Durango
864,Glasgow
865,Barranquilla
866,Quezon City
867,Melbourne
868,Puerto Williams
869,Perth
870,Roseau
871,Surat
872,Namangan
873,Podgorica
874,Arequipa
875,Ilhéus
876,Quezon City
877,Milwaukee
878,Marseille
879,Brikama
880,Yerevan
881,Liverpool
882,Lviv
883,Macau
884,Fredericton
885,Banjul
886,Durban
887,Tampere
888,Cologne
889,Lusaka
890,Funafuti
891,Adana
892,Hobart
893,Cairns
894,St. John's
895,Tegucigalpa
896,Bulawayo
897,Saskatoon
898,Melbourne
899,Bursa
900,Austin
901,Banda Aceh
902,Fukuoka
903,George Town
904,Kiev
905,Pago Pago
906,Adak
907,Philadelphia
908,Dhaka
909,Koror
910,Marseille
911,Iquitos
912,Arequipa
913,Sabha
914,Wellington
915,Stepanakert
916,Ushuaia
917,Sitka
918,Lisbon
919,Srinagar
920,Daegu
921,Budapest
922,Albuquerque
923,Dallas
924,Dongguan
925,Forked River
926,Luxor
927,Málaga
928,Córdoba
929,Rochester
930,Zürich
931,Edmonton
932,Novosibirsk
933,Iloilo City
934,Atlanta
935,Guatemala City
936,Zamboanga City
937,Luanda
938,Helsinki
939,Kuching
940,Chengdu
941,Osaka
942,Whitehorse
943,Kansas City
944,Vaduz
945,Astana
946,Nagoya
947,Praia
948,Dibrugarh
949,Seoul
950,Horta (Azores)
951,Pontianak
952,Quito
953,Kaesong
954,Dakar
955,Salzburg
956,Johannesburg
957,Sri Jayawardenapura-Kotte
958,Buenos Aires
959,Nice
960,Zanzibar City
961,Darwin
962,Fukuoka
963,Accra
964,Cali
965,Doha
966,Cape Town
967,Port-au-Prince
968,Rio de Janeiro
969,Adamstown
970,Jerusalem
971,San Francisco
972,Kiev
973,Manchester
974,Miri
975,Perm
976,Zhengzhou
977,Murmansk
978,Sucre
979,Brasília
980,Charlotte
981,Winnipeg
982,Hat Yai
983,Lusaka
984,Dili
985,Palembang
986,Peshawar
987,Porto-Novo
988,Kingston
989,Detroit
990,Puebla
991,Kyoto
992,Charlotte
993,Beirut
994,Alor Star
995,Brussels
996,Omsk
997,Kharkiv
998,Istanbul
999,Salt Lake City
1000,Milwaukee
1001,Hyderabad
1002,Road Town
1003,Bucharest
1004,Kano
1005,Brikama
1006,Amritsar
1007,Leeds
1008,Kuching
1009,Turin
1010,Bandung
1011,Batticaloa
1012,Dresden
1013,Honolulu
1014,Praia
1015,Guangzhou
1016,San José
1017,Belfast
1018,Antofagasta
1019,Malé
1020,Warsaw
1021,Sri Jayawardenapura-Kotte
1022,Tamale
1023,Chiang Mai
1024,Simferopol
1025,Manzini
1026,Phnom Penh
1027,Puerto Williams
1028,El Aaiún
1029,Baku
1030,Banda Aceh
1031,Newcastle
1032,Bangalore
1033,Gangtok
1034,Honiara
1035,Cairns
1036,Multan
1037,Mandurah
1038,Francistown
1039,Whitehorse
1040,Mamoudzou
1041,Colombo
1042,Bangalore
1043,Mandurah
1044,Makati City
1045,Vancouver
1046,George Town
1047,Norilsk
1048,Columbus
1049,Porto Alegre
1050,Iqaluit
1051,Porto Alegre
1052,Quito
1053,Kingston
1054,La Serena
1055,Albuquerque
1056,Glasgow
1057,Minneapolis
1058,Istanbul
1059,San Carlos de Bariloche
1060,Bloemfontein
1061,Santa Cruz de Tenerife
1062,Castries
1063,Mogadishu
1064,San Salvador
1065,Malé
1066,Indianapolis
1067,Assis
1068,Split (city)
1069,Copenhagen
1070,Padang
1071,Whitehorse
1072,Recife
1073,Quezon City
1074,Phnom Penh
1075,Denver
1076,Luxor
1077,Cairns
1078,Khartoum
1079,Monterrey
1080,Ahmedabad
1081,Aarhus
1082,Regina
1083,Turin
1084,Perm
1085,Saint Petersburg
1086,Antwerp
1087,St. Louis
1088,Bloemfontein
1089,Munich
1090,Shillong
1091,Panama City
1092,Thiès
1093,Hanoi
1094,Nukuʻalofa
1095,Amritsar
1096,Incheon
1097,Brazzaville
1098,Antofagasta
1099,Bogor
1100,Brazzaville
1101,Sabha
1102,Pristina
1103,Valdivia
1104,Surat Thani
1105,Omsk
1106,Ouagadougou
1107,Madrid
1108,Jersey City
1109,Serekunda
1110,Miami
1111,Assis
1112,Warsaw
1113,Monaco
1114,Providence
1115,Tampa
1116,Vladivostok
1117,Basra
1118,Porto-Novo
1119,Medina
1120,Adana
1121,Assis
1122,Fredericton
1123,Tijuana
1124,Puebla
1125,Puerto Williams
1126,Podgorica
1127,Hanover
1128,Adana
1129,Libreville
1130,Seoul
1131,Chittagong
1132,Honolulu
1133,Multan
1134,Cartagena
1135,Longyearbyen
1136,Chennai
1137,Moscow
1138,Norilsk
1139,Koulikoro
1140,Port Vila
1141,Managua
1142,Jeddah
1143,Yakutsk
1144,Aarhus
1145,Pago Pago
1146,Wuhan
1147,Madrid
1148,Ürümqi
1149,Chennai
1150,Belmopan
1151,Brussels
1152,Mwanza
1153,Naples
1154,Namangan
1155,Bogor
1156,Ambon
1157,Port Louis
1158,Jersey City
1159,Vitória
1160,Hagåtña
1161,Jaipur
1162,Bogor
1163,Nouméa
1164,Ambon
1165,Longyearbyen
1166,Paramaribo
1167,Espoo
1168,Ouagadougou
1169,Cairo
1170,St. John's
1171,Zürich
1172,Lahore
1173,Brasília
1174,Cleveland
1175,Minsk
1176,Gold Coast
1177,Kuwait City
1178,Hobart
1179,Luxembourg (city)
1180,Kunming
1181,Hiroshima
1182,Harbin
1183,Taiyuan
1184,New Orleans
1185,Mendoza
1186,Tianjin
1187,Providence
1188,Toronto
1189,The Valley
1190,Detroit
1191,Belize City
1192,Tunis
1193,Riga
1194,Praia
1195,Munich
1196,Dakar
1197,Lilongwe
1198,Wichita
1199,Pretoria
1200,Gaza
1201,İzmir
1202,Abuja
1203,Graz
1204,Salzburg
1205,Papeete
1206,Iqaluit
1207,Miri
1208,Cali
1209,Jaipur
1210,Prague
1211,Dresden
1212,Mashhad
1213,Ashgabat
1214,Tampa
1215,Avarua
1216,Kanpur
1217,Mbabane
1218,Portland
1219,Addis Ababa
1220,Abidjan
1221,Iqaluit
1222,Pontianak
1223,Pyongyang
1224,Podgorica
1225,Taipei
1226,Ibiza
1227,Vladivostok
1228,New Delhi
1229,Miami
1230,Batticaloa
1231,Durango
1232,Denver
1233,Tijuana
1234,Changchun
1235,Kuala Lumpur
1236,Ndola
1237,Ibadan
1238,Prague
1239,Jayapura
1240,Mbabane
1241,Malmö
1242,Ho Chi Minh City
1243,Belém
1244,Lima
1245,Ürümqi
1246,Medellín
1247,Port Said
1248,Moroni
1249,Salt Lake City
1250,Dushanbe
1251,Kawasaki
1252,Podgorica
1253,Jamestown
1254,Espoo
1255,Monrovia
1256,Dallas
1257,İzmir
1258,Kuala Lumpur
1259,Ibiza
1260,Tel Aviv
1261,Thessaloniki
1262,Guadalajara
1263,Oranjestad
1264,Livingstone
1265,Manchester
1266,Moroni
1267,The Valley
1268,George Town
1269,Assis
1270,Edmonton
1271,Riyadh
1272,Xining
1273,Karachi
1274,Nagoya
1275,Belize City
1276,Chaguanas
1277,Lomé
1278,Madrid
1279,Fukuoka
1280,Norilsk
1281,Astana
1282,Bahía Blanca
1283,Lanzhou
1284,Hanga Roa
1285,Yangon
1286,Ürümqi
1287,Cape Town
1288,Udon Thani
1289,Kota Kinabalu
1290,Lusaka
1291,Bloemfontein
1292,Douala
1293,Calama
1294,Maceió
1295,Monrovia
1296,Milan
1297,Balikpapan
1298,Providence
1299,Amritsar
1300,Buffalo
1301,Longyearbyen
1302,Hiroshima
1303,Wonsan
1304,Basra
1305,Calgary
1306,Melekeok
1307,Innsbruck
1308,Toronto
1309,Pattaya
1310,Vatican City
1311,Kingstown
1312,Phoenix
1313,Vladivostok
1314,Porto-Novo
1315,Honiara
1316,Cologne
1317,Lagos
1318,Honolulu
1319,Yakutsk
1320,Valdivia
1321,Lilongwe
1322,Manila
1323,Zanzibar City
1324,Aberdeen
1325,Managua
1326,Brasília
1327,Charlottetown
1328,Ouagadougou
1329,Christchurch
1330,Tampa
1331,Dibrugarh
1332,Shigatse
1333,Nanjing
1334,Quetzaltenango
1335,Monaco
1336,Washington
1337,Yellowknife
1338,Nanjing
1339,Minneapolis
1340,New York City
1341,Damascus
1342,Okinawa
1343,Mecca
1344,Buenos Aires
1345,Banda Aceh
1346,Rio de Janeiro
1347,Samara
1348,Balikpapan
1349,Alexandria
1350,Osaka
1351,Havana
1352,Bursa
1353,Split (city)
1354,Ambon
1355,Valencia
1356,Puebla
1357,São Paulo
1358,Bucharest
1359,Huế
1360,Mogadishu
1361,Manila
1362,Kuching
1363,Alexandria
1364,Indianapolis
1365,Bujumbura
1366,Busan
1367,Cayenne
1368,Christchurch
1369,Dushanbe
1370,Saint Petersburg
1371,Dushanbe
1372,Apia
1373,Ottawa
1374,San José
1375,Ambon
1376,Las Palmas de Gran Canaria
1377,Accra
1378,Melbourne
1379,Sabha
1380,Makati City
1381,Murmansk
1382,Concepción
1383,Saint Petersburg
1384,Boston
1385,Lisbon
1386,Providence
1387,Johor Bahru
1388,Budapest
1389,Leeds
1390,Santa Cruz de la Sierra
1391,Frankfurt
1392,Adana
1393,Okinawa
1394,Iloilo City
1395,Omsk
1396,Port-au-Prince
1397,Vaduz
1398,Suez
1399,Moroni
1400,Zürich
1401,Valdivia
1402,Turin
1403,Brazzaville
1404,Guayaquil
1405,Beijing
1406,Recife
1407,Leipzig
1408,Barcelona
1409,Ahmedabad
1410,Nice
1411,Daegu
1412,Buffalo
1413,Freetown
1414,Brasília
1415,Istanbul
1416,Guadalajara
1417,Port Blair
1418,Jeddah
1419,Gaborone
1420,Moroni
1421,Canberra
1422,Saint John
1423,Hamilton
1424,Baghdad
1425,Bridgetown
1426,Strasbourg
1427,Makati City
1428,Antananarivo
1429,Makassar
1430,Cairo
1431,Chihuahua
1432,Qingdao
1433,Prague
1434,Ulan Bator
1435,Macapá
1436,Pune
1437,St. George's
1438,Jayapura
1439,Maceió
1440,Las Vegas
1441,Gibraltar
1442,São Tomé
1443,Campo Grande
1444,Hagåtña
1445,Astana
1446,Anadyr (town)
1447,Ulan Bator
1448,Louisville
1449,Milan
1450,Douala
1451,Cotonou
1452,Nakhon Ratchasima
1453,Curitiba
1454,Campinas
1455,Madrid
1456,Monaco
1457,Surabaya
1458,Willemstad
1459,Port of Spain
1460,Leipzig
1461,Porto-Novo
1462,Santa Cruz de la Sierra
1463,Bursa
1464,Chennai
1465,Hong Kong
1466,Bucharest
1467,Patna
1468,Nantes
1469,Ouagadougou
1470,Rosario
1471,Darwin
1472,Forked River
1473,Busan
1474,Jersey City
1475,Kiev
1476,Bergen
1477,Istanbul
1478,Saint-Denis
1479,Regina
1480,Avarua
1481,Santa Cruz de la Sierra
1482,Bishkek
1483,Hobart
1484,Sukhumi
1485,Angra do Heroísmo
1486,Kano
1487,Milwaukee
1488,Guatemala City
1489,Berlin
1490,Yerevan
1491,Malé
1492,Johor Bahru
1493,Kota Kinabalu
1494,Sofia
1495,Ciudad del Este
1496,Busan
1497,Djibouti (city)
1498,Madrid
1499,Mashhad
1500,Sana'a
1501,Jersey City
1502,London
1503,Cleveland
1504,Fukuoka
1505,Praia
1506,Nanjing
1507,Tehran
1508,Austin
1509,Beijing
1510,Saint-Denis
1511,Zapopan
1512,Shanghai
1513,Dallas
1514,Brasília
1515,Chongqing
1516,Bilbao
1517,Timbuktu
1518,Riverside
1519,Assis
1520,Bangui
1521,Johor Bahru
1522,Nashville
1523,Chaguanas
1524,Tehran
1525,Fairbanks
1526,Jersey City
1527,Kano
1528,Maseru
1529,Algiers
1530,Lima
1531,Bridgetown
1532,Harbin
1533,Shijiazhuang
1534,Zhengzhou
1535,Port Hedland
1536,Pittsburgh
1537,Sabha
1538,Tabriz
1539,Juneau
1540,Tehran
1541,Munich
1542,Vientiane
1543,Hargeisa
1544,Manaus
1545,Palikir
1546,Busan
1547,Naples
1548,Tunis
1549,Los Angeles
1550,Virginia Beach
1551,Shanghai
1552,Peshawar
1553,Chicago
1554,Okinawa
1555,Tórshavn
1556,Townsville
1557,Greenwich
1558,Ludhiana
1559,Podgorica
1560,Namangan
1561,Helsinki
1562,Castries
1563,Makati City
1564,Basra
1565,Arbil
1566,Mamoudzou
1567,Charlotte Amalie
1568,Gold Coast
1569,Podgorica
1570,Hyderabad
1571,Brazzaville
1572,Saskatoon
1573,Yerevan
1574,Kolkata
1575,Phuket (city)
1576,Invercargill
1577,Rawalpindi
1578,Vilnius
1579,Copenhagen
1580,Bangui
1581,Port Vila
1582,Kingston
1583,Baghdad
1584,Dushanbe
1585,Adelaide
1586,Córdoba
1587,Chişinău
1588,Honolulu
1589,Tampere
1590,Anchorage
1591,Dunedin
1592,Toronto
1593,Podgorica
1594,Banda Aceh
1595,Los Angeles
1596,Yekaterinburg
1597,Damascus
1598,Vientiane
1599,Johor Bahru
1600,Weno
1601,Rio de Janeiro
1602,Moroni
1603,Chuí
1604,Sitka
1605,Kanpur
1606,Mashhad
1607,Rotterdam
1608,Christchurch
1609,Valencia
1610,Houston
1611,Singapore
1612,Whitehorse
1613,Bridgetown
1614,Lhasa
1615,Paramaribo
1616,Barcelona
1617,Dunedin
1618,St. George's
1619,Khartoum
1620,Linz
1621,Shenzhen
1622,Daegu
1623,Nouakchott
1624,Kyoto
1625,Chengdu
1626,Las Palmas de Gran Canaria
1627,Quebec City
1628,Yakutsk
1629,Rabi Island
1630,Colombo
1631,Ilhéus
1632,Detroit
1633,Vientiane
1634,Cartagena
1635,Oslo
1636,Nagpur
1637,Dammam
1638,Pattaya
1639,Ipoh
1640,Zanzibar City
1641,Luxembourg (city)
1642,Madrid
1643,Monrovia
1644,Aberdeen
1645,Curitiba
1646,Sacramento
1647,Baltimore
1648,Denver
1649,Alofi
1650,New Delhi
1651,Mendoza
1652,Hat Yai
1653,Taichung
1654,Praia
1655,Winnipeg
1656,South Tarawa
1657,Turin
1658,Bandung
1659,Lahore
1660,Nukulaelae
1661,Saskatoon
1662,Yekaterinburg
1663,Saint Petersburg
1664,Gaziantep
1665,Maputo
1666,Kota Kinabalu
1667,Concepción
1668,Madrid
1669,Memphis
1670,Abu Dhabi
1671,Warsaw
1672,Kobe
1673,Turin
1674,Kunming
1675,Port Elizabeth
1676,Jamestown
1677,Kaliningrad
1678,Mandurah
1679,Bangui
1680,Douglas
1681,Ho Chi Minh City
1682,Belém
1683,Thiès
1684,Paramaribo
1685,Surat Thani
1686,Kaohsiung
1687,Córdoba
1688,Papeete
1689,Singapore
1690,Surat Thani
1691,Praia
1692,Thessaloniki
1693,Dalian
1694,Managua
1695,Suez
1696,Semarang
1697,Cusco
1698,Mumbai
1699,Iquitos
1700,Curitiba
1701,Yokohama
1702,Johor Bahru
1703,Qingdao
1704,Avarua
1705,St. John's
1706,Tskhinvali
1707,Lima
1708,Incheon
1709,Fortaleza
1710,Oslo
1711,Liverpool
1712,St. John's
1713,Kigali
1714,Gaza
1715,Sacramento
1716,Shillong
1717,Johannesburg
1718,São Tomé
1719,Osaka
1720,Kyoto
1721,Kota Kinabalu
1722,São Paulo
1723,Changchun
1724,Shenyang
1725,Shijiazhuang
1726,Semarang
1727,The Hague
1728,Brasília
1729,Lucknow
1730,São José dos Campos
1731,Zamboanga City
1732,Dongguan
1733,Damascus
1734,Glasgow
1735,Hagåtña
1736,Adamstown
1737,George Town
1738,Mexicali
1739,Vitória
1740,La Serena
1741,Kaliningrad
1742,Baltimore
1743,Liverpool
1744,Chiang Mai
1745,Cairo
1746,Ibiza
1747,Yaoundé
1748,Djibouti (city)
1749,Bucharest
