id_contracts,taxi_companies_id_taxi_companies,autos_id_autos,taxi_drivers_id_taxi_drivers,entry_date,end_date
272,4783,4500,940,2008-05-31,2023-02-26
273,4020,3821,1390,2015-04-26,2028-10-19
274,1934,2164,7544,2018-01-11,2028-02-08
275,265,5312,2545,2021-01-29,2027-08-13
276,4642,3858,3415,2017-09-11,2024-02-18
277,7521,2198,6566,2013-04-07,2023-02-20
278,3606,6234,4838,2014-04-25,2024-07-01
279,1486,660,639,2014-08-30,2025-06-18
280,2430,7948,1478,2012-03-09,2028-10-01
281,6818,9952,8081,2019-05-10,2029-11-22
282,2659,5322,2187,2019-09-08,2027-04-07
283,1962,505,2681,2012-01-16,2029-07-24
284,5452,9999,2360,2016-10-30,2027-11-25
285,4706,6071,5930,2015-01-10,2023-09-01
286,8794,10025,1228,2009-06-08,2028-02-25
287,2288,6698,4004,2011-10-30,2028-03-21
288,155,8220,1960,2009-08-12,2027-12-28
289,115,7977,3370,2021-06-20,2025-02-01
290,4528,106,340,2015-07-14,2027-04-29
291,5142,8562,1096,2007-12-30,2026-09-11
292,9331,9578,3820,2018-02-10,2023-09-09
293,5832,3348,2119,2018-04-14,2024-01-19
294,1389,5259,6899,2020-11-17,2023-04-17
295,1834,2268,1377,2009-04-04,2022-07-26
296,1907,9546,1979,2008-10-26,2027-11-08
297,4836,8694,6047,2009-03-13,2026-09-06
298,1889,9361,8143,2017-09-20,2025-03-03
299,731,5015,1195,2011-01-27,2029-05-24
300,9206,3705,6465,2021-09-02,2024-05-14
301,863,2589,1374,2010-09-07,2027-04-15
302,4220,1432,7802,2011-06-23,2024-03-16
303,2990,2778,9660,2013-08-10,2029-04-02
304,4704,9424,6654,2015-07-07,2025-11-17
305,6896,2653,8213,2010-10-27,2024-09-03
306,842,3644,1562,2020-11-26,2027-02-15
307,6657,7424,5041,2013-03-07,2023-04-19
308,813,3099,6540,2015-07-04,2023-03-14
309,4325,9268,8745,2015-12-01,2024-02-25
310,244,7253,3785,2019-12-05,2026-05-01
311,5267,677,6034,2020-11-02,2024-02-07
312,4886,8611,1916,2021-08-15,2026-07-11
313,1309,2355,7826,2007-06-29,2025-11-15
314,5792,2931,6540,2016-02-01,2028-03-22
315,7669,6270,9218,2015-02-04,2024-01-04
316,7040,1742,3338,2011-12-06,2027-01-06
317,7284,5293,7179,2015-04-26,2024-08-04
318,9279,8681,3857,2015-12-27,2022-10-11
319,6564,7670,3568,2009-02-27,2028-04-03
320,4960,5496,3052,2009-03-28,2028-01-22
321,1935,9551,9859,2014-07-31,2026-06-24
322,1846,8765,4188,2022-04-12,2022-08-28
323,7697,4984,824,2021-03-10,2022-09-10
324,4134,4079,7709,2017-08-07,2026-12-15
325,2742,792,8452,2010-03-15,2029-03-01
326,2425,7064,2377,2020-09-14,2026-10-24
327,5386,186,1348,2009-08-10,2026-01-13
328,7036,7061,5677,2013-05-17,2026-10-28
329,9814,573,6662,2015-04-17,2024-10-01
330,3157,251,2063,2008-03-20,2029-02-26
331,1018,5304,3260,2018-12-30,2025-04-27
332,623,1423,274,2011-04-29,2024-10-16
333,7369,1580,3541,2015-05-11,2023-04-21
334,1169,2377,4815,2011-08-18,2028-09-19
335,3707,3799,119,2012-08-09,2027-10-19
336,287,6382,1903,2018-05-01,2029-11-10
337,824,6121,8187,2012-05-06,2027-12-13
338,7678,9622,7328,2019-07-23,2026-09-14
339,7857,757,8270,2012-08-15,2027-06-25
340,3013,9618,2739,2019-02-26,2027-06-07
341,2103,3676,5967,2015-06-13,2023-07-10
342,176,5206,6150,2008-12-07,2026-02-10
343,2047,2412,4299,2012-01-13,2028-11-15
344,9286,575,4194,2008-05-12,2029-03-14
345,4447,3735,9418,2012-06-12,2025-08-08
346,2453,8743,1812,2022-05-30,2023-05-24
347,8916,573,3061,2008-05-28,2025-01-17
348,4239,5029,542,2013-11-16,2024-07-07
349,9773,9091,9461,2022-02-22,2023-10-12
350,9054,8978,5710,2007-09-29,2025-02-06
351,935,4170,1049,2018-06-11,2028-02-15
352,1243,8569,3276,2009-05-01,2025-09-09
353,9072,5251,9093,2016-05-11,2024-11-03
354,6654,6049,2911,2009-06-18,2024-07-24
355,9080,960,8596,2010-05-17,2029-08-05
356,1910,3113,583,2015-01-23,2022-10-07
357,1161,424,1258,2017-02-21,2023-06-16
358,4865,9545,8386,2020-12-01,2026-01-27
359,7515,1428,7212,2011-02-23,2024-10-07
360,1772,4233,3051,2021-09-23,2026-10-16
361,8143,3071,8861,2018-06-29,2027-05-03
362,3901,1031,1774,2022-05-27,2023-06-18
363,8046,377,1107,2010-02-09,2023-05-28
364,7071,2828,4531,2012-05-03,2029-11-27
365,8257,8945,4557,2017-01-27,2024-11-20
366,8586,2854,7262,2010-08-06,2027-04-02
367,5366,4327,7032,2017-07-19,2027-03-26
368,7612,6610,5215,2017-06-11,2024-10-03
369,1692,5724,9953,2018-10-20,2026-12-31
370,3317,3125,663,2021-01-05,2025-03-18
371,5419,5046,8635,2014-09-19,2022-06-25
372,6376,2077,5385,2013-08-27,2022-12-02
373,6939,6495,4251,2020-03-24,2026-06-08
374,3143,5431,979,2013-02-09,2027-11-14
375,8247,5412,6727,2015-12-16,2024-02-25
376,10017,1277,9026,2015-12-27,2027-10-03
377,3935,8968,1527,2009-03-27,2025-01-03
378,1386,2071,4969,2018-09-28,2029-05-08
379,3219,2643,7892,2019-08-09,2027-06-02
380,7645,7409,9969,2022-04-13,2024-10-20
381,9919,3475,9558,2011-05-23,2027-08-19
382,6684,10007,3739,2021-07-17,2024-08-03
383,386,2588,10042,2014-12-06,2025-03-21
384,9821,4184,1828,2011-08-21,2029-12-02
385,485,3704,8150,2021-11-05,2028-07-18
386,1160,2590,7479,2010-02-08,2025-02-06
387,10000,6883,5001,2016-08-14,2023-06-14
388,8991,4434,1250,2008-02-18,2024-09-09
389,7239,5841,9521,2009-07-26,2028-11-12
390,3836,1151,6604,2017-10-24,2025-04-22
391,2920,8374,8069,2007-02-11,2029-05-21
392,1546,5647,1440,2015-08-05,2025-03-15
393,6706,5671,9820,2021-11-21,2029-08-31
394,652,3270,5841,2020-11-17,2026-10-12
395,4605,9619,6258,2020-08-13,2023-09-19
396,3387,5630,9853,2013-03-29,2025-12-15
397,7483,8256,6514,2021-06-28,2026-01-19
398,8417,4601,3128,2019-04-14,2028-01-01
399,6958,4354,8930,2012-08-19,2028-08-17
400,1824,2785,2676,2020-11-25,2022-12-26
401,3023,1611,4375,2014-02-17,2029-04-15
402,347,6649,1014,2018-01-12,2027-09-01
403,4937,9147,2754,2007-03-22,2027-07-01
404,8315,4555,954,2008-04-13,2025-10-17
405,5288,3299,5011,2022-02-09,2028-01-10
406,5834,9035,7372,2008-02-10,2023-01-21
407,3666,5358,6204,2014-07-08,2029-05-30
408,8571,8267,8283,2010-06-03,2026-02-10
409,8088,6157,4686,2014-01-31,2022-12-26
410,3909,4210,3449,2014-03-24,2028-03-19
411,8597,130,313,2010-08-08,2026-12-21
412,5130,1064,1952,2007-02-26,2024-03-04
413,2518,8771,7892,2012-02-22,2028-01-14
414,6185,5599,551,2010-04-06,2026-09-15
415,9352,5425,4680,2021-11-16,2027-03-04
416,8886,6316,2577,2010-06-05,2029-08-21
417,9983,1297,2124,2010-08-21,2022-08-16
418,6988,8442,147,2017-02-20,2023-11-22
419,1874,7529,5839,2012-11-05,2029-07-09
420,3158,2485,10049,2020-07-13,2027-03-05
421,4583,5643,2526,2013-12-31,2025-10-25
422,1272,8898,5890,2009-01-06,2027-02-23
423,2936,2944,5168,2019-11-02,2022-09-09
424,649,8114,5846,2017-07-15,2026-03-16
425,1886,8181,8640,2012-09-12,2023-03-07
426,3833,1302,956,2009-10-18,2025-09-17
427,5629,7202,5578,2018-02-08,2023-07-25
428,3179,8931,4823,2010-02-03,2027-12-07
429,6034,8731,3578,2017-11-14,2027-03-17
430,9799,9534,3201,2017-10-18,2024-09-18
431,6827,877,3977,2015-07-17,2029-02-13
432,379,9213,8145,2019-12-10,2026-10-20
433,6399,8602,6578,2010-09-09,2028-10-02
434,2491,9280,8474,2010-10-12,2023-03-01
435,105,3421,8900,2020-04-09,2027-07-14
436,5969,9549,3854,2022-03-24,2025-10-16
437,7664,10095,6389,2014-09-28,2025-04-12
438,1819,1144,1086,2017-07-03,2023-01-09
439,821,6274,4019,2009-02-01,2027-03-16
440,3298,1318,2607,2010-10-19,2022-07-08
441,8145,3529,5659,2021-12-01,2027-12-05
442,4764,1857,9048,2017-03-25,2023-01-18
443,9965,4821,4271,2007-09-13,2023-02-17
444,3478,953,7197,2013-10-14,2025-04-28
445,8473,6488,4798,2011-09-16,2025-09-13
446,2222,9468,8013,2022-05-27,2024-05-11
447,7015,5165,5265,2012-01-12,2024-06-07
448,9687,1796,1491,2021-09-14,2025-12-08
449,6583,408,2365,2012-08-02,2023-11-16
450,9682,6574,8574,2015-04-28,2029-03-05
451,8135,8249,6108,2019-12-18,2023-11-21
452,7391,8307,6532,2019-11-08,2027-01-30
453,8529,7030,1380,2010-04-01,2028-09-25
454,2937,9569,1968,2015-08-01,2023-04-01
455,9706,5730,6740,2020-01-10,2023-08-07
456,7111,6408,2367,2013-02-16,2027-03-09
457,2000,5492,1858,2010-03-10,2022-09-25
458,7405,1959,8792,2007-01-02,2025-06-02
459,8304,4480,3009,2012-09-12,2022-06-11
460,3999,5427,5917,2012-05-31,2023-05-01
461,8146,8167,3577,2018-12-08,2026-03-21
462,6321,3866,3205,2013-06-17,2024-01-27
463,1054,5670,1399,2016-06-28,2022-06-12
464,294,5192,3037,2011-04-06,2027-09-05
465,4441,4364,750,2016-11-13,2026-10-22
466,1025,8253,3047,2014-12-06,2027-03-06
467,1414,6994,4147,2007-10-06,2029-09-16
468,406,4965,7959,2019-09-30,2023-12-15
469,4874,1164,829,2011-08-26,2028-09-01
470,3924,8015,6805,2017-12-28,2027-12-17
471,10092,2798,2595,2021-05-15,2022-07-22
472,8248,7347,2821,2007-03-12,2027-07-07
473,552,9468,7910,2016-05-09,2027-07-09
474,4028,4227,4112,2010-10-30,2023-05-04
475,1695,7615,2828,2021-06-03,2027-11-05
476,5060,6579,1642,2012-09-04,2024-09-22
477,4459,6070,4235,2009-08-19,2024-03-21
478,1740,6331,7401,2009-06-21,2026-07-17
479,8952,4839,3727,2009-03-01,2028-04-18
480,1064,1905,5552,2009-03-06,2026-02-24
481,2726,981,1668,2022-03-19,2029-05-29
482,8000,9229,6897,2009-08-23,2025-07-22
483,10089,2840,2013,2011-04-20,2028-09-14
484,5326,4914,1785,2021-05-12,2029-05-14
485,6849,7444,2397,2012-12-05,2027-03-21
486,9433,7353,6541,2015-04-17,2023-01-02
487,133,2579,6540,2020-05-21,2025-03-20
488,6087,5040,1792,2015-08-04,2026-10-24
489,2316,5227,7538,2018-02-21,2023-04-07
490,3210,5273,8347,2019-03-01,2026-03-20
491,2130,8528,3535,2011-05-21,2025-02-20
492,5667,2005,4159,2018-04-09,2022-09-19
493,2229,9530,4890,2010-11-14,2027-11-13
494,9746,9768,3586,2011-11-21,2029-03-22
495,3558,3159,4076,2013-08-04,2025-08-08
496,7425,485,10035,2015-02-17,2029-11-08
497,1607,7534,9316,2017-09-16,2022-06-14
498,1986,6662,9942,2009-03-13,2024-06-08
499,120,1609,1886,2009-11-09,2028-12-18
500,9103,5687,2908,2017-11-02,2026-10-22
501,1922,593,5733,2018-02-15,2025-02-10
502,1916,644,6352,2009-04-03,2025-02-02
503,1739,1338,1413,2007-09-17,2026-01-06
504,8263,2948,8674,2019-12-01,2023-07-29
505,1552,9591,6137,2007-07-11,2028-12-26
506,8294,6168,9995,2017-03-23,2029-10-12
507,9087,1136,3618,2021-06-03,2023-12-07
508,9056,7076,1337,2018-10-19,2025-03-18
509,5507,1623,6054,2021-08-07,2026-06-28
510,9625,7288,7845,2021-01-14,2023-10-02
511,3618,7765,5097,2012-07-09,2024-01-06
512,8887,3593,7857,2014-12-05,2027-08-14
513,7447,2308,1197,2007-05-14,2022-08-23
514,9528,8096,3407,2013-04-20,2026-09-30
515,9165,6124,5083,2020-01-19,2026-12-15
516,8148,4165,2846,2009-02-18,2024-08-24
517,1640,9733,6654,2009-08-13,2023-01-01
518,1918,1794,2008,2007-12-09,2023-04-14
519,4288,421,868,2015-05-27,2024-02-06
520,8751,9574,9217,2010-05-25,2027-03-19
521,3242,1834,6463,2008-11-27,2028-02-08
522,7307,6768,6036,2014-04-21,2029-12-20
523,2039,6834,256,2014-06-29,2028-01-30
524,3271,9933,192,2009-06-12,2022-08-04
525,2814,4626,2948,2012-04-17,2025-03-09
526,9777,10084,868,2011-03-09,2026-05-17
527,3264,2791,6653,2010-02-18,2025-09-11
528,1782,8118,7306,2008-11-10,2023-07-28
529,655,7573,7937,2015-02-09,2028-06-09
530,952,3669,5340,2020-10-19,2029-07-08
531,2705,6202,3533,2015-09-27,2029-07-08
532,9462,9045,6756,2011-05-18,2028-01-07
533,8378,4148,9127,2007-01-07,2028-07-12
534,6172,6748,5375,2017-09-13,2027-10-02
535,1155,3750,9383,2013-07-06,2027-06-11
536,3688,380,9864,2009-02-01,2026-12-03
537,7235,4476,6362,2018-05-02,2025-11-18
538,7544,3390,6937,2017-12-12,2024-02-07
539,8675,8930,2187,2013-03-05,2027-12-04
540,4490,2090,6349,2010-05-24,2023-08-06
541,9097,4263,5716,2021-07-26,2023-07-11
542,6828,9717,1961,2007-02-21,2024-03-30
543,1225,5809,7431,2010-06-16,2028-07-29
544,4599,9368,10039,2017-08-21,2023-11-22
545,659,2559,6565,2014-08-27,2029-01-10
546,5016,993,112,2016-08-25,2026-03-13
547,2952,5807,8674,2008-10-14,2022-10-18
548,6767,6434,3689,2012-03-14,2027-10-30
549,6652,5156,6089,2009-03-29,2023-12-17
550,4901,1949,6910,2015-10-06,2026-05-17
551,3881,9988,1632,2019-09-24,2029-07-30
552,7985,8303,6733,2019-06-14,2028-07-28
553,9837,6232,8170,2020-03-20,2028-08-23
554,7438,7157,8418,2008-09-12,2025-07-12
555,9236,8494,2090,2014-09-10,2025-10-29
556,2405,6084,4440,2009-08-06,2024-04-03
557,6364,3073,9090,2016-02-01,2022-09-30
558,4415,4705,6824,2013-07-01,2027-10-02
559,140,7556,5418,2019-03-16,2028-08-16
560,4282,632,8445,2018-03-19,2024-09-09
561,1509,10039,8102,2008-03-26,2028-03-18
562,8348,8616,9966,2016-04-07,2024-11-15
563,910,5415,5237,2020-10-05,2024-07-14
564,6809,4949,5299,2008-02-02,2029-04-24
565,2943,6480,7592,2012-10-01,2023-12-22
566,9256,3801,4846,2022-06-01,2024-07-13
567,5182,6970,1548,2008-01-07,2024-03-19
568,2759,9776,7918,2011-09-09,2024-08-25
569,5232,2161,5253,2018-07-13,2023-04-11
570,8227,6029,3069,2016-01-19,2027-07-17
571,4572,7236,6615,2008-08-08,2024-06-03
572,9901,3513,9106,2020-08-28,2023-09-08
573,6310,9023,7911,2009-02-02,2025-03-10
574,7688,9698,9296,2020-11-24,2028-11-14
575,7624,3012,4859,2017-03-02,2024-06-03
576,5861,2782,4376,2017-03-07,2029-04-22
577,6478,3337,2201,2011-09-15,2024-11-19
578,1320,1223,6111,2019-10-31,2026-12-06
579,9741,570,3339,2012-12-04,2024-08-09
580,8948,816,3247,2008-05-12,2027-08-19
581,6136,6296,1912,2018-10-13,2026-10-18
582,8199,2661,7966,2014-10-27,2028-05-29
583,3671,5901,9542,2022-04-28,2028-05-27
584,2502,7635,3808,2013-09-12,2028-01-05
585,5513,1837,1823,2009-12-24,2023-05-23
586,2483,9830,2263,2012-07-22,2028-03-03
587,2778,2220,5896,2007-12-15,2023-04-03
588,2134,7184,571,2009-04-05,2024-10-22
589,4274,3288,9836,2020-01-27,2024-08-17
590,8311,4543,7259,2010-03-03,2026-12-21
591,110,8663,6825,2014-05-29,2029-11-20
592,9195,6432,1750,2007-07-28,2026-03-02
593,5863,4913,1085,2020-05-13,2028-05-08
594,8375,9985,6547,2015-09-19,2023-02-28
595,7334,8541,1652,2022-04-22,2024-07-11
596,9982,8327,3214,2018-04-16,2023-08-31
597,8651,9947,5164,2008-01-31,2027-01-16
598,4335,1529,7526,2021-01-08,2026-11-11
599,4649,7496,6822,2018-05-15,2022-06-14
600,5170,2505,8053,2016-07-11,2025-10-20
601,3402,5877,9976,2012-03-18,2028-05-01
602,6159,1373,8285,2013-07-28,2027-05-10
603,5713,6972,7251,2007-06-29,2025-04-17
604,4333,4970,9618,2008-02-13,2029-09-08
605,2740,1943,9486,2020-06-11,2024-02-16
606,6248,5760,3465,2013-07-12,2026-10-04
607,9817,1878,426,2013-06-12,2029-02-13
608,2881,4645,1677,2017-04-17,2028-10-02
609,6480,1400,4432,2012-04-27,2025-04-11
610,7667,8611,2981,2011-10-26,2028-04-17
611,5865,7094,8923,2015-05-17,2024-05-24
612,2203,5366,9262,2008-02-07,2028-01-03
613,1817,1344,8258,2018-07-09,2028-08-04
614,8400,4051,5780,2021-10-17,2025-08-14
615,6123,2604,4658,2012-09-18,2022-10-07
616,5086,6915,2032,2008-06-04,2023-08-22
617,1481,2577,2927,2010-08-08,2027-03-30
618,5615,7119,8409,2016-10-31,2023-02-11
619,5504,1422,3092,2016-08-15,2024-03-10
620,6576,1508,1223,2016-12-12,2023-02-21
621,4735,2284,2069,2014-01-04,2029-11-30
622,1686,9628,761,2007-10-01,2027-09-22
623,3347,3002,4605,2010-11-13,2025-12-14
624,3069,1948,3823,2020-07-03,2027-08-08
625,7797,8035,7360,2017-08-09,2024-09-19
626,1833,1876,4676,2008-10-05,2027-05-17
627,5645,881,8561,2012-01-22,2029-04-11
628,6523,372,1553,2014-08-29,2022-06-13
629,5480,4944,6381,2010-08-24,2029-12-05
630,3873,3936,9293,2017-06-12,2022-08-13
631,795,6393,5787,2010-04-07,2029-10-06
632,6073,869,5064,2019-08-28,2023-11-10
633,9472,993,7004,2017-12-13,2027-04-23
634,2517,3562,5157,2015-09-27,2022-08-18
635,9168,332,642,2011-01-23,2024-08-01
636,4392,1010,6490,2015-08-01,2028-12-04
637,8327,2764,3647,2016-11-27,2027-12-01
638,2834,5342,576,2008-11-23,2028-11-02
639,3149,639,6801,2020-05-05,2025-11-15
640,505,832,4566,2013-11-09,2026-11-15
641,4730,2487,7704,2015-09-19,2024-07-31
642,6771,9659,482,2017-06-30,2028-03-14
643,4744,4112,2505,2019-03-09,2026-01-17
644,679,4676,6954,2016-01-10,2022-12-05
645,7090,5992,377,2020-05-20,2025-06-03
646,4660,401,6641,2012-02-25,2024-04-30
647,8191,8271,2956,2015-11-01,2024-12-16
648,3418,6781,2716,2010-10-21,2025-10-15
649,10078,9700,3023,2021-06-07,2029-02-08
650,685,5388,3435,2018-09-27,2022-10-24
651,5131,333,5381,2021-02-17,2025-05-25
652,3384,4108,2702,2008-08-21,2024-02-24
653,1625,8126,3603,2020-01-27,2028-04-12
654,2495,3988,8888,2017-01-22,2025-08-29
655,323,328,7075,2015-02-13,2025-07-28
656,8857,1873,961,2017-12-26,2025-06-13
657,6782,2691,3271,2015-11-08,2025-11-20
658,8885,4348,4574,2007-11-28,2024-12-26
659,7368,8967,1304,2014-05-12,2024-08-19
660,2803,7151,1067,2014-04-01,2023-11-02
661,7283,694,6460,2016-06-29,2029-10-14
662,5301,2672,6888,2013-12-30,2028-03-28
663,8646,1201,2462,2018-10-04,2024-03-20
664,8108,353,8548,2013-05-19,2026-07-11
665,6136,4750,7507,2018-11-21,2024-11-07
666,908,2019,6719,2010-02-24,2029-06-23
667,3092,9754,8480,2010-11-10,2028-02-22
668,7801,2601,9806,2010-02-13,2027-04-26
669,7986,956,451,2013-04-27,2029-05-21
670,3684,8361,7622,2012-04-09,2022-10-07
671,8528,2852,7905,2007-08-05,2028-02-01
672,6752,9631,8390,2016-07-31,2028-01-09
673,1808,3807,8774,2015-03-28,2027-06-21
674,3735,762,1936,2012-12-12,2027-12-02
675,9051,7132,775,2017-09-16,2028-09-01
676,3405,9171,1739,2012-01-15,2026-06-09
677,1956,799,675,2010-11-14,2029-11-23
678,8001,4877,772,2016-05-31,2024-11-24
679,3825,9866,4918,2010-09-22,2029-09-16
680,2863,7289,6756,2022-04-13,2022-09-11
681,2366,8679,8049,2019-02-07,2022-12-20
682,7992,6858,7951,2010-08-10,2029-12-09
683,10053,2498,497,2018-04-11,2023-12-14
684,4181,4544,3113,2007-11-07,2025-05-10
685,7552,4659,6897,2007-03-29,2028-06-16
686,1164,5886,454,2009-09-20,2029-08-30
687,8230,9260,7058,2012-04-25,2026-10-23
688,3753,3716,9330,2008-10-06,2027-04-12
689,9773,4252,9322,2019-04-17,2023-08-07
690,4934,7852,8770,2014-11-21,2025-10-26
691,1118,3088,7581,2012-09-30,2026-09-18
692,6008,3124,4316,2012-06-11,2022-09-29
693,6834,2946,3413,2009-03-12,2025-04-19
694,3473,9162,3564,2013-11-30,2026-03-22
695,6036,2552,1296,2015-10-08,2023-10-13
696,2165,583,4134,2012-05-01,2025-05-06
697,6280,3365,6739,2019-07-23,2029-09-02
698,2023,3679,2981,2018-07-18,2026-03-13
699,8399,1293,5162,2020-09-10,2022-12-22
700,627,2817,1466,2011-11-17,2024-05-12
701,3250,5793,7198,2016-09-14,2023-01-06
702,2604,7580,5198,2015-05-07,2028-11-17
703,1510,6045,6562,2014-10-06,2023-03-09
704,4313,5820,5994,2020-01-26,2025-07-25
705,7313,436,7532,2009-09-22,2029-11-20
706,4962,8489,5235,2020-10-28,2027-02-13
707,5094,7248,6406,2014-10-27,2026-08-18
708,6342,6879,7544,2019-04-11,2023-12-12
709,5166,8837,1064,2021-09-17,2027-12-29
710,8842,9897,6438,2015-02-08,2027-07-01
711,6802,5582,3658,2013-11-01,2029-02-25
712,8926,2779,2207,2007-03-19,2026-08-11
713,8916,4587,3723,2014-12-27,2022-12-14
714,5761,7656,7529,2019-01-07,2025-08-02
715,6026,5712,9527,2020-12-11,2027-11-13
716,6762,297,7058,2010-07-28,2022-11-01
717,9736,7493,1703,2019-12-31,2023-11-29
718,7619,5749,9698,2010-03-15,2029-12-05
719,7963,7547,2377,2012-05-22,2025-03-24
720,6607,6447,4095,2014-09-24,2022-11-06
721,6160,6801,1795,2011-09-13,2028-06-23
722,5797,6329,6383,2017-03-09,2026-09-03
723,2541,2843,5778,2009-08-25,2024-12-13
724,1277,8426,7369,2019-07-05,2029-07-29
725,2402,3194,1715,2017-06-10,2025-10-02
726,1604,1837,9435,2013-11-03,2022-07-17
727,1848,4815,6532,2021-10-28,2025-11-07
728,4961,823,2643,2020-08-28,2023-03-28
729,5598,3581,7349,2010-07-15,2027-11-27
730,7730,6609,7692,2022-03-06,2026-12-24
731,4177,2766,3640,2019-09-14,2023-03-05
732,450,9482,6136,2008-03-12,2025-09-12
733,5567,1683,5523,2008-11-20,2027-05-12
734,2409,7551,7028,2010-09-03,2027-09-30
735,7842,7352,475,2011-01-06,2025-08-22
736,5781,3606,1558,2019-09-22,2029-07-19
737,2637,5970,9624,2018-01-05,2025-11-13
738,1129,8381,9178,2018-07-12,2029-01-03
739,485,1680,10002,2007-04-02,2027-08-02
740,3254,8559,3410,2014-08-18,2024-10-26
741,5930,2684,4909,2010-03-18,2025-07-12
742,9340,4734,9138,2017-01-07,2026-09-21
743,3417,4662,9842,2021-06-17,2028-11-09
744,4688,7180,7201,2018-02-23,2023-08-24
745,3977,1694,3948,2016-04-24,2025-08-18
746,4016,2803,2183,2020-09-14,2024-05-20
747,8300,2440,6014,2010-01-10,2023-12-05
748,8402,6545,7819,2011-09-07,2029-05-15
749,2591,6266,126,2007-07-15,2027-10-04
750,3432,9795,6177,2018-06-21,2027-08-28
751,6924,5906,6061,2013-10-06,2025-09-08
752,4672,7971,5186,2009-03-22,2029-06-01
753,5949,6455,5431,2014-03-16,2024-03-04
754,1072,8228,3695,2020-07-02,2027-12-16
755,5553,1444,2502,2020-03-30,2023-08-04
756,5671,9819,7196,2015-02-11,2028-05-07
757,2518,5927,9117,2013-11-22,2023-04-12
758,2004,624,5519,2013-07-13,2026-11-18
759,9388,3975,8222,2014-05-29,2027-09-01
760,8563,4725,8493,2012-02-22,2028-08-02
