id_trips,forms_of_payment_id_forms_of_payment,departure_address,arrival_address,estimation,clients_id_clients,order_methods_id_order_methods,contracts_id_contracts
389,8830,Bogotá,Prague,2,3129,840,3979
390,8469,San José,Canberra,1,8418,7498,7056
391,5841,Hanoi,Wellington,1,4769,1035,7133
392,2760,Khartoum,Yaoundé,5,2076,9747,3235
393,8610,Fredericton,Kyoto,3,7721,6502,1462
394,2409,Patna,Jeddah,5,4955,9763,7196
395,6435,Hamburg,Winnipeg,4,2501,8596,8675
396,7470,George Town,Moroni,3,8641,5531,6976
397,2413,Hanover,Caracas,4,7239,2746,9769
398,7591,Mata-Utu,Quito,5,1409,4150,6561
399,6451,Córdoba,Berlin,4,1125,4153,2741
400,5678,Fukuoka,Wuhan,1,5623,9308,3959
401,8831,Pekanbaru,Pretoria,4,1386,8510,4768
402,243,Bogotá,Kaohsiung,4,283,9714,3961
403,2045,Detroit,Gaza,1,7088,7797,6236
404,3211,Puerto Williams,Madrid,4,2881,6418,5567
405,2779,Abidjan,Birkirkara,3,2326,5647,3861
406,4392,Changchun,Leipzig,1,2590,8969,2309
407,3185,Muscat,Mexico City,1,8106,2359,3670
408,2699,Curitiba,Oklahoma City,4,162,1153,1956
409,6145,Singapore,Amritsar,1,2641,233,5285
410,4760,Dammam,Memphis,2,1946,4858,7465
411,1952,Iquique,Port Louis,3,5315,4262,7467
412,5034,Cuiabá,Iquitos,5,9796,6705,7982
413,5152,Austin,Lubumbashi,2,5698,179,3878
414,1331,Taipei,Islamabad,5,2027,6884,1248
415,3367,Rotterdam,Saint Petersburg,5,7574,3698,2186
416,4865,Santa Cruz de Tenerife,Darwin,4,6142,6511,9723
417,8025,Guangzhou,Pekanbaru,3,6121,9846,3398
418,9636,Davao City,Adak,3,1821,3634,5869
419,5012,Kobe,Bujumbura,4,9078,4015,3050
420,678,Saint-Denis,Kota Kinabalu,2,429,6659,7118
421,9486,Geelong,Damascus,5,9672,3473,4102
422,4760,Palikir,Bahía Blanca,2,5928,5023,933
423,5214,Bamako,San José,3,6975,10061,7070
424,1752,Beirut,Linz,3,9138,4866,4902
425,4114,Timbuktu,Frankfurt,2,8058,5399,3626
426,9097,Porto Velho,Arbil,2,8150,9942,2392
427,5091,Port-au-Prince,Port Blair,1,1095,8035,9115
428,4341,Sapporo,Wuhan,2,2517,2685,1127
429,2982,Bujumbura,Avarua,2,9437,8078,9765
430,9005,Townsville,Kandahar,3,2980,6032,3862
431,2080,Mersin,Nukuʻalofa,3,3214,5040,2862
432,2596,Denpasar,Nouakchott,2,8632,9352,3762
433,9907,Santo Domingo,Brasília,1,8456,1730,8412
434,1768,Mexicali,Providence,2,2493,3101,9882
435,5394,Adana,Gaziantep,2,6988,1683,8630
436,7762,Harare,Oranjestad,3,4855,7108,2540
437,8259,Lilongwe,Conakry,2,2442,7185,8358
438,1422,Taiyuan,Vancouver,4,5435,7366,10053
439,939,Longyearbyen,Espoo,4,7056,944,5987
440,3986,Harare,Rosario,4,6281,3549,1815
441,9868,Bilbao,Riga,4,694,9958,5149
442,9796,Milan,Zapopan,2,10044,8098,9001
443,7993,Dunedin,Nakhon Ratchasima,3,8514,8984,1597
444,3009,Linz,Durban,2,8242,3832,5072
445,579,Tokyo,Jamestown,5,3014,8080,7398
446,9404,Petropavlovsk-Kamchatsky,Xining,5,1792,3874,1998
447,1825,Bamako,Novosibirsk,1,596,1874,8161
448,1376,Ashgabat,Minneapolis,3,5722,3671,879
449,4471,Zanzibar City,Islamabad,1,7937,7982,2786
450,4026,Kawasaki,Chihuahua,3,4171,1304,7433
451,8321,Port Said,Tampere,3,5273,3544,3277
452,9623,Chongjin,Tucson,1,7503,4444,730
453,8400,Dammam,Lviv,2,7181,2596,1513
454,9038,Guwahati,Tunis,4,7253,3318,4033
455,7126,Jerusalem,City of San Marino,5,4701,3321,1791
456,9009,Milan,San Fernando,1,1950,4468,8746
457,3992,Hiroshima,Nukuʻalofa,5,6435,1246,542
458,9048,Sana'a,Porto,5,3473,3939,8118
459,8626,Malabo,Lahore,5,4123,8682,2112
460,1188,Edinburgh,Zapopan,2,8100,1317,7025
461,6858,Puebla,Lima,4,6512,3249,3944
462,9320,Maracaibo,Houston,5,8346,5104,1901
463,6940,Brasília,Belém,1,3939,4398,5865
464,247,Adamstown,Sabha,1,4590,3085,7846
465,2576,Newcastle,Sri Jayawardenapura-Kotte,1,1778,2833,4454
466,8440,Monrovia,Invercargill,2,3080,5161,9063
467,1391,Port Blair,Louisville,2,7159,9550,8446
468,2401,Douala,The Hague,4,2531,371,4376
469,8485,San Juan,Yokohama,2,6289,3730,1380
470,8306,Zapopan,Vilnius,4,3997,5738,9025
471,5876,Manzini,La Serena,2,7957,2150,1004
472,4218,Montevideo,Bilbao,4,3454,2697,9879
473,3295,Glasgow,Suva,3,5638,8355,7427
474,2558,Paramaribo,Johannesburg,2,5471,6772,3641
475,7771,Kobe,Magadan,5,892,9570,3766
476,1951,Monrovia,Nassau,1,2026,4832,2492
477,7336,Barranquilla,Timbuktu,4,9525,9181,9955
478,7737,Vladivostok,Thimphu,5,3570,4209,9887
479,7607,San Antonio,Asunción,3,8647,8094,7261
480,2021,Gaziantep,Papeete,5,1031,4646,1001
481,2028,Recife,Leipzig,1,8730,4717,6412
482,624,Cannes,Vientiane,2,5485,5833,3176
483,2594,Tskhinvali,Pontianak,2,10078,7860,7701
484,8316,Thessaloniki,Surat Thani,4,4451,3503,7199
485,6404,Sri Jayawardenapura-Kotte,Seoul,1,9766,5754,1075
486,1440,Ürümqi,Thiès,1,3171,5227,4107
487,3948,Tampere,Nanjing,2,8963,6504,7743
488,7910,Wonsan,Oslo,3,4746,4453,9301
489,8561,Xining,Medellín,2,1810,8145,2484
490,1696,Albuquerque,Bloemfontein,4,9669,4313,8591
491,7978,Honiara,Rio de Janeiro,2,9860,4696,1352
492,6746,Bratsk,The Hague,1,4813,1139,916
493,5997,Munich,Da Nang,1,844,1801,5366
494,4636,Chuí,Montreal,3,661,2501,4486
495,2427,Mashhad,Bursa,2,8675,965,5410
496,1876,Yokohama,Luxembourg (city),3,4581,4379,1414
497,3046,Port Hedland,Padang,1,8155,9527,9803
498,8321,Vancouver,Quito,2,5118,9603,767
499,175,Dar es Salaam,Port Hedland,4,6826,2128,8159
500,5552,Zagreb,San Juan,2,2548,4516,8028
501,4015,Medina,Porto Alegre,5,5428,1826,8646
502,1502,Kota Kinabalu,Kandahar,1,1455,3164,5932
503,7081,Niamey,Nagoya,2,9165,5725,8145
504,7782,Apia,Yangon,1,612,1140,6136
505,5094,Port Said,Tirana,4,7275,5812,4545
506,8402,N'Djamena,Lanzhou,2,6846,2974,9179
507,5864,Tijuana,Davao City,3,7943,840,3769
508,4344,Adak,Montevideo,1,7849,1789,1185
509,4423,Ludhiana,Kinshasa,4,3685,9760,4481
510,2913,Pattaya,Chongqing,5,6526,6157,7482
511,2500,Tagbilaran,Manila,2,1936,279,6422
512,9022,Gdańsk,Cairo,1,3213,5034,5386
513,6996,Amman,Ahmedabad,4,3355,4049,8165
514,3720,Rotterdam,Vienna,3,9252,6324,8597
515,2291,Kano,Kingstown,3,6355,9145,994
516,378,Faisalabad,Ankara,3,5335,1081,917
517,5075,Saipan,Hat Yai,5,7895,1120,2603
518,1030,Mecca,Cologne,5,8126,6740,9547
519,8947,Zapopan,The Valley,2,9356,5213,9469
520,5832,Omdurman,Manama,4,6595,1210,4612
521,8460,Cork (city),Edinburgh,3,4052,5881,9197
522,2146,Shenzhen,Mata-Utu,5,6085,2485,3462
523,4483,Sitka,Ipoh,3,1933,3650,812
524,9680,Mashhad,Paris,3,5287,9085,8563
525,9933,Tripoli,Tripoli,1,9300,9213,8594
526,547,Gdańsk,Toulouse,2,4409,2952,5531
527,9359,Zürich,Douglas,2,3634,808,9207
528,4268,Jeddah,Moroni,2,567,6893,421
529,8497,Cali,Pelotas,5,6311,5755,1655
530,3265,Maceió,Quebec City,3,5259,7160,4952
531,9906,Kingston,Gangtok,2,779,5517,6716
532,2599,Guayaquil,Frankfurt,5,4827,5651,1290
533,5843,Damascus,Kandahar,3,7806,6208,817
534,9096,Sana'a,Patna,5,2707,9451,4606
535,477,Perm,Luanda,3,7672,2389,317
536,9464,Vancouver,Geneva,2,966,5009,6520
537,5617,Sofia,Espoo,4,3078,6119,3277
538,1008,Perm,Miri,3,8384,5094,805
539,5616,Yangon,Budapest,3,1981,6094,4078
540,6530,Makati City,Bangkok,5,3850,6892,9233
541,6331,Omsk,Medina,5,3225,6534,9960
542,1092,New Delhi,Hamilton,4,6739,7496,5622
543,7733,Boa Vista,Nakhon Ratchasima,4,368,6422,3459
544,893,Graz,Cardiff,3,5125,873,4152
545,9504,Conakry,Nairobi,3,5765,9665,2945
546,1796,Tashkent,Manchester,2,9293,6962,8597
547,1141,Hat Yai,Wellington,1,8128,4890,3527
548,2515,Cork (city),Lilongwe,1,2571,3923,1225
549,9705,Kuala Lumpur,Alexandria,4,7864,1924,1111
550,4588,Belmopan,Hyderabad,4,2151,7322,1924
551,3685,Multan,Portland,1,3141,5597,4066
552,6109,Calgary,Dededo,1,3987,2156,8834
553,8584,Cairns,Hat Yai,4,2019,7377,5402
554,4444,Sana'a,Banjul,2,2025,256,1848
555,10086,Birmingham,Wollongong,5,6806,7822,2589
556,4796,Port-au-Prince,Luanda,2,3815,9781,6718
557,3469,Malmö,Handan,3,2182,950,1241
558,629,Port Hedland,Invercargill,4,1170,1356,7090
559,9589,Melekeok,Nicosia,5,6444,6729,1007
560,9015,Quito,Tampa,3,7490,7494,6121
561,9846,Arbil,Dushanbe,5,6663,2259,7230
562,7525,Bamako,Iqaluit,2,6512,2026,7751
563,2411,Kobe,Ambon,4,9458,8224,1410
564,4577,Riverside,New York City,5,9071,1856,2809
565,6108,Auckland,Bishkek,4,9815,3902,8069
566,1642,Beijing,Balikpapan,1,7657,8804,5177
567,6810,Jeddah,Pago Pago,4,5300,6360,1998
568,2751,Nukulaelae,Vladivostok,2,6116,3255,7754
569,5496,Mersin,Enugu,4,4882,3549,4849
570,1544,Phnom Penh,San Antonio,5,2556,7307,288
571,8200,Bucharest,Praia,1,2351,5265,6927
572,2244,Ilhéus,Nouakchott,5,4362,9050,2673
573,8925,Xi'an,Ibiza,1,5022,7612,8113
574,1346,Wichita,Las Palmas de Gran Canaria,5,4457,7194,3767
575,9112,Lobamba,Johor Bahru,1,904,4768,4568
576,322,Malang,Bogor,5,5211,4888,9200
577,5837,Ndola,Havana,1,3231,6050,2490
578,5710,Córdoba,Papeete,5,9058,9321,9577
579,4568,Multan,Cockburn Town,2,8378,8660,9277
580,4551,Zhengzhou,Niamey,5,2795,3091,3574
581,9301,Pyongyang,Porto Alegre,3,9630,6650,7189
582,9692,Bissau,Nice,3,109,1428,10148
583,6193,Dublin,Valletta,2,963,3774,1039
584,9480,Jinan,Lyon,1,661,9210,6957
585,852,Iloilo City,Patna,4,8837,2261,2240
586,4376,Taiyuan,Vaduz,5,560,1903,4537
587,9595,Sabha,Tartu,1,4305,1444,895
588,7531,Lilongwe,Sukhumi,1,6591,5315,1360
589,5376,Antananarivo,San Francisco,3,9290,5866,3892
590,9519,Puebla,Vitória,1,7883,8563,3940
591,8674,Bergen,Port Vila,5,1047,9954,2840
592,1735,Ibadan,Huế,2,9405,3608,5470
593,2232,Tripoli,Ürümqi,4,6238,785,6649
594,3365,Sukhumi,Kandahar,1,9458,1270,7260
595,9221,Miri,Saint-Denis,4,2631,1882,5312
596,1825,Perm,San Juan,1,807,7521,1798
597,5035,Manama,Auckland,2,6242,131,3329
598,8705,Dammam,Dushanbe,4,7047,3400,3956
599,6013,Alor Star,La Serena,1,3552,3661,3606
600,3637,Virginia Beach,Minneapolis,3,539,5441,1877
601,7944,Naypyidaw,Cayenne,1,5761,4644,4986
602,6456,Thimphu,Arequipa,4,8515,7400,7035
603,7886,Maracaibo,Cotonou,5,1905,5922,2613
604,1017,Antananarivo,Timbuktu,2,1232,8310,2591
605,8784,Maputo,Kuala Lumpur,1,1606,8935,5896
606,9565,Port Elizabeth,Pattaya,3,9069,5937,1558
607,8523,Birmingham,Palikir,4,2398,5090,1778
608,6004,New Orleans,Portland,3,8302,797,2552
609,6894,Xining,Helsinki,2,4937,5831,7778
610,856,Lahore,Ilhéus,3,9289,7207,4749
611,6479,Tallinn,Linz,2,9012,2660,862
612,8391,Islamabad,Nicosia,2,8351,9511,2372
613,5594,Casablanca,Casablanca,1,5630,5970,2617
614,7545,Manchester,Tirana,1,3373,614,3775
615,3267,Ciudad del Este,Punta Arenas,3,9029,9556,4265
616,5743,Antofagasta,Monaco,2,636,7031,5303
617,8823,Harbin,Alexandria,2,9870,947,2164
618,6072,Assis,Mashhad,3,3377,6108,5904
619,6423,Vilnius,Porto Alegre,4,9487,4733,3268
620,9080,Nakhon Ratchasima,Guatemala City,5,2227,3372,5352
621,1811,Vilnius,Puebla,3,6134,3074,2583
622,9065,Lubumbashi,Canberra,3,4267,1663,5103
623,1334,Palma,Hat Yai,2,2466,5923,463
624,3998,Bissau,Las Palmas de Gran Canaria,5,5830,5489,7567
625,5504,Cardiff,Kaesong,2,1428,222,1691
626,8396,Cartagena,Karachi,5,9866,4113,8094
627,9562,Kuala Lumpur,Lhasa,5,1561,2309,8634
628,6323,Mexico City,Tegucigalpa,4,5208,4936,7166
629,1251,Marseille,Manaus,2,873,3362,7480
630,1833,Innsbruck,Milan,4,8884,5569,2679
631,6218,Malé,La Paz,1,8822,3343,4574
632,3275,Palma,Antananarivo,5,1136,9985,7436
633,7813,Ahmedabad,Barranquilla,2,3198,8647,9067
634,5743,Sitka,Rosario,3,8271,6183,4707
635,5048,Brikama,Kigali,5,9436,6232,1864
636,5071,Road Town,Charlotte,4,1946,8286,5969
637,1277,Hilo,Ho Chi Minh City,5,6855,1543,3245
638,7333,Cannes,Samara,3,7784,3058,5262
639,7054,Patna,Kaliningrad,1,1414,5915,4628
640,8954,Mendoza,Mendoza,4,1023,4465,542
641,2085,Washington,Chicago,4,576,4595,3583
642,3740,Johannesburg,New Orleans,5,5089,9196,2910
643,2719,Douglas,Faisalabad,2,7972,9544,2336
644,8437,Xining,Shanghai,4,5442,1799,4938
645,2748,Omsk,Innsbruck,5,8352,1842,9686
646,9382,Gaziantep,Bilbao,5,3643,8402,9349
647,9334,Zamboanga City,Louisville,3,721,1336,9705
648,9410,Brasília,Ho Chi Minh City,2,5092,4570,4042
649,5341,City of Halifax,Busan,5,3086,1966,4641
650,4068,Bloemfontein,Baghdad,3,9239,4559,9352
651,8457,Abuja,Tel Aviv,1,5521,2687,10128
652,9455,Bridgetown,Castries,3,2209,2229,3527
653,2257,Amman,Sapporo,2,4471,833,4129
654,954,Hanover,Saint-Pierre,1,9512,2258,1188
655,159,Chennai,Podgorica,4,1382,305,8016
656,4263,Phoenix,Harbin,3,5591,9672,1704
657,1796,Mumbai,Luxembourg (city),4,8347,8026,7914
658,7636,Dibrugarh,Dodoma,5,6919,7467,2518
659,5397,Bridgetown,Virginia Beach,5,1479,7268,2080
660,1598,Dammam,Antananarivo,1,3445,3643,8092
661,10060,Oslo,Palma,1,6773,5902,6875
662,126,Ambon,Denver,4,8493,2426,7786
663,6111,Siem Reap,Luxor,1,6763,4839,7264
664,2337,Conakry,Adamstown,3,9491,2369,8972
665,5537,Vaduz,Damascus,4,898,6808,882
666,697,Alexandria,Oslo,1,2310,8099,2068
667,5206,Belém,Quetzaltenango,5,5659,640,8515
668,6911,Bulawayo,Kabul,4,4994,446,1730
669,884,Ibiza,Gaziantep,4,8641,3690,5613
670,7251,Birmingham,Koror,2,5228,9462,7076
671,8160,Islamabad,Jakarta,5,2581,3814,7713
672,10052,Wollongong,Wellington,5,8597,1742,8510
673,2851,Ludhiana,Damascus,3,2379,1114,7143
674,9593,Vatican City,Cleveland,3,6262,1865,6958
675,6029,Kingston,Bandung,2,5280,4637,6749
676,2820,Abidjan,Iloilo City,3,6971,211,3319
677,10005,Chennai,Port Said,3,3592,7724,4375
678,3752,Edinburgh,Abuja,5,1309,6338,5252
679,7638,Marseille,Memphis,4,6561,7454,1471
680,1662,Mexico City,Odessa,3,6459,4361,871
681,8588,The Hague,Split (city),3,5425,6508,8826
682,988,Yekaterinburg,Las Vegas,5,5027,7812,7892
683,1316,San José,Sofia,2,1279,3525,9189
684,1479,Bujumbura,Maceió,2,8461,9129,4009
685,6260,Palembang,Basra,3,6903,8645,10071
686,3821,Nanning,Baku,3,4638,933,7840
687,2415,Las Vegas,Macapá,2,5771,8086,1811
688,2073,The Hague,Sapporo,5,2783,1177,2395
689,3364,Nakhon Ratchasima,Iquique,1,4320,248,1143
690,9522,Weno,Antofagasta,3,9107,4922,9775
691,2981,Mersin,N'Djamena,3,6228,7189,4158
692,4432,Vancouver,Mandurah,4,6680,9690,2159
693,6301,Warsaw,Yellowknife,5,7023,3953,447
694,6235,Raleigh,Innsbruck,5,5174,9769,5808
695,4843,Panama City,Kandy,2,3534,880,2469
696,192,Ambon,Bangkok,2,6420,6486,8679
697,2509,Guatemala City,Hiroshima,4,4710,7830,10087
698,9787,Canberra,San Juan,2,4809,7709,7725
